hospital_id;device_id;utilization_date;amount;name;creation_date;title;category;department_id;extra_info
1;101;2023-04-03;639;Carter-Hill;2021-12-24;Cuidados Intensivos;Monitorização;1000;Ala Norte
2;101;2021-12-10;3599;Perkins, Hughes and Smith;2019-02-01;Urgências;Monitorização;1001;Uso Urgente
3;108;2024-06-14;693;Bullock, Ramos and Harris;2015-02-23;Pediatria;Sutura Mecânica;1002;Ala Norte
4;103;2022-12-29;3869;Wilson, Goodwin and Alexander;2021-05-26;Cardiologia;Diagnóstico;1003;Sala 302
5;101;2021-07-19;291;Morris PLC;2020-06-07;Oncologia;Monitorização;1004;Equipamento Novo
6;104;2023-12-10;135;Russell LLC;2017-03-22;Pediatria;Imagiologia;1005;Calibração pendente
7;104;2022-02-22;3023;Taylor-Webster;2017-12-04;Radiologia;Imagiologia;1006;Uso Urgente
8;103;2022-01-29;4482;Stephens-Massey;2012-12-28;Urgências;Diagnóstico;1007;Uso Urgente
9;106;2022-06-09;109;Sanders Group;2015-09-10;Pediatria;Infusão;1008;Piso 1
10;103;2025-08-02;3279;Banks, Robertson and Martinez;2019-10-23;Pediatria;Diagnóstico;1009;Ala Norte
11;104;2025-06-24;1737;Gilmore and Sons;2022-07-28;Ortopedia;Imagiologia;1010;Piso 1
12;104;2022-01-18;1133;Lloyd-Murphy;2015-08-29;Bloco Operatório;Imagiologia;1011;Equipamento Novo
13;108;2025-02-12;3841;White, Mahoney and Merritt;2017-03-09;Oncologia;Sutura Mecânica;1012;Uso Urgente
14;102;2025-07-08;565;Ward PLC;2019-06-14;Ginecologia;Ventilação;1013;Calibração pendente
15;102;2023-09-21;4368;Khan Group;2020-07-10;Pediatria;Ventilação;1014;Software v4.2
16;101;2021-08-07;291;Oconnor-Wilson;2019-05-03;Ginecologia;Monitorização;1015;Uso Urgente
17;102;2025-11-05;712;Ellis Ltd;2020-10-13;Radiologia;Ventilação;1016;Uso Urgente
18;105;2023-02-16;2301;Torres, Fry and Wilson;2019-06-26;Oncologia;Esterilização;1017;Uso Urgente
18;101;2023-02-16;2301;Torres, Fry and Wilson;2018-02-22;Ginecologia;Monitorização;1018;Uso Urgente
19;107;2020-08-22;4995;Johnson Inc;2015-07-25;Pediatria;Desfibrilhação;1019;Software v4.2
20;104;2022-07-02;3335;Mcdaniel-Patterson;2017-12-25;Ortopedia;Imagiologia;1020;Ala Norte
21;102;2021-01-11;3936;Jones-Baldwin;2012-03-16;Ginecologia;Ventilação;1021;Sala 302
22;105;2022-09-12;1351;Alexander, Taylor and Lam;2016-01-24;Neurologia;Esterilização;1022;Equipamento Novo
23;101;2020-03-17;3704;Fox, Lang and Graham;2016-12-12;Ginecologia;Monitorização;1023;Ala Norte
24;102;2021-08-24;2938;Vang, Tanner and Robinson;2017-08-12;Cardiologia;Ventilação;1024;Piso 1
25;103;2024-08-12;1359;Reilly, Rios and Dominguez;2017-09-18;Radiologia;Diagnóstico;1025;Software v4.2
26;104;2025-12-15;178;Richardson, Boyle and Strong;2024-02-13;Ginecologia;Imagiologia;1026;Software v4.2
27;102;2024-06-22;1632;Sampson-Garcia;2020-07-09;Neurologia;Ventilação;1027;Calibração pendente
12;106;2021-06-10;3759;Lloyd-Murphy;2019-04-06;Ginecologia;Infusão;1028;Equipamento Novo
28;102;2025-11-02;1355;Esparza LLC;2020-01-08;Urgências;Ventilação;1029;Equipamento Novo
29;105;2020-09-22;964;Beard, Walsh and Williams;2018-08-22;Cardiologia;Esterilização;1030;Manutenção efetuada
30;106;2024-07-13;771;Manning-Long;2023-07-02;Urgências;Infusão;1031;Uso Urgente
31;104;2023-12-19;1251;Rivera Inc;2022-11-14;Oncologia;Imagiologia;1032;Ala Norte
32;102;2022-10-06;2753;Stewart, Cuevas and Morales;2019-02-17;Cuidados Intensivos;Ventilação;1033;Piso 1
33;107;2022-01-27;3397;Owens-Hood;2019-12-27;Urgências;Desfibrilhação;1034;Manutenção efetuada
34;108;2023-04-25;2108;Stokes, Phillips and Jones;2016-04-10;Cuidados Intensivos;Sutura Mecânica;1035;Ala Norte
35;103;2023-03-11;2986;Ramirez-Lynch;2018-03-11;Cuidados Intensivos;Diagnóstico;1036;Sala 302
36;103;2023-05-29;4063;King-Parsons;2015-03-24;Cuidados Intensivos;Diagnóstico;1037;Software v4.2
37;102;2022-12-10;3495;Riggs LLC;2018-04-03;Urgências;Ventilação;1038;Uso Urgente
34;104;2020-03-28;2023;Stokes, Phillips and Jones;2012-05-04;Neurologia;Imagiologia;1039;Software v4.2
38;107;2020-08-19;4508;Roman-Brown;2017-08-31;Urgências;Desfibrilhação;1040;Calibração pendente
39;105;2022-01-19;4737;Mora, Rose and Daniels;2019-08-01;Cardiologia;Esterilização;1041;Equipamento Novo
40;107;2024-04-19;3673;Foster and Sons;2020-02-02;Pediatria;Desfibrilhação;1042;Ala Norte
41;106;2021-01-02;1882;Scott PLC;2019-03-02;Cardiologia;Infusão;1043;Calibração pendente
42;101;2023-04-17;4348;Griffin Inc;2014-03-19;Urgências;Monitorização;1044;Ala Norte
