hospital_id;device_id;utilization_date;amount;name;creation_date;title;category;department_id;extra_info
1;101;03/04/2023;639;Carter-Hill;24/12/2021;Cuidados Intensivos;Monitorização;1000;Ala Norte
2;101;10/12/2021;3599;Perkins, Hughes and Smith;01/02/2019;Urgências;Monitorização;1001;Uso Urgente
3;108;14/06/2024;693;Bullock, Ramos and Harris;23/02/2015;Pediatria;Sutura Mecânica;1002;Ala Norte
4;103;29/12/2022;3869;Wilson, Goodwin and Alexander;26/05/2021;Cardiologia;Diagnóstico;1003;Sala 302
5;101;19/07/2021;291;Morris PLC;07/06/2020;Oncologia;Monitorização;1004;Equipamento Novo
6;104;10/12/2023;135;Russell LLC;22/03/2017;Pediatria;Imagiologia;1005;Calibração pendente
7;104;22/02/2022;3023;Taylor-Webster;04/12/2017;Radiologia;Imagiologia;1006;Uso Urgente
8;103;29/01/2022;4482;Stephens-Massey;28/12/2012;Urgências;Diagnóstico;1007;Uso Urgente
9;106;09/06/2022;109;Sanders Group;10/09/2015;Pediatria;Infusão;1008;Piso 1
10;103;02/08/2025;3279;Banks, Robertson and Martinez;23/10/2019;Pediatria;Diagnóstico;1009;Ala Norte
11;104;24/06/2025;1737;Gilmore and Sons;28/07/2022;Ortopedia;Imagiologia;1010;Piso 1
12;104;18/01/2022;1133;Lloyd-Murphy;29/08/2015;Bloco Operatório;Imagiologia;1011;Equipamento Novo
13;108;12/02/2025;3841;White, Mahoney and Merritt;09/03/2017;Oncologia;Sutura Mecânica;1012;Uso Urgente
14;102;08/07/2025;565;Ward PLC;14/06/2019;Ginecologia;Ventilação;1013;Calibração pendente
15;102;21/09/2023;4368;Khan Group;10/07/2020;Pediatria;Ventilação;1014;Software v4.2
16;101;07/08/2021;291;Oconnor-Wilson;03/05/2019;Ginecologia;Monitorização;1015;Uso Urgente
17;102;05/11/2025;712;Ellis Ltd;13/10/2020;Radiologia;Ventilação;1016;Uso Urgente
18;105;16/02/2023;2301;Torres, Fry and Wilson;26/06/2019;Oncologia;Esterilização;1017;Uso Urgente
18;101;16/02/2023;2301;Torres, Fry and Wilson;22/02/2018;Ginecologia;Monitorização;1018;Uso Urgente
19;107;22/08/2020;4995;Johnson Inc;25/07/2015;Pediatria;Desfibrilhação;1019;Software v4.2
20;104;02/07/2022;3335;Mcdaniel-Patterson;25/12/2017;Ortopedia;Imagiologia;1020;Ala Norte
21;102;11/01/2021;3936;Jones-Baldwin;16/03/2012;Ginecologia;Ventilação;1021;Sala 302
22;105;12/09/2022;1351;Alexander, Taylor and Lam;24/01/2016;Neurologia;Esterilização;1022;Equipamento Novo
23;101;17/03/2020;3704;Fox, Lang and Graham;12/12/2016;Ginecologia;Monitorização;1023;Ala Norte
24;102;24/08/2021;2938;Vang, Tanner and Robinson;12/08/2017;Cardiologia;Ventilação;1024;Piso 1
25;103;12/08/2024;1359;Reilly, Rios and Dominguez;18/09/2017;Radiologia;Diagnóstico;1025;Software v4.2
26;104;15/12/2025;178;Richardson, Boyle and Strong;13/02/2024;Ginecologia;Imagiologia;1026;Software v4.2
27;102;22/06/2024;1632;Sampson-Garcia;09/07/2020;Neurologia;Ventilação;1027;Calibração pendente
12;106;10/06/2021;3759;Lloyd-Murphy;06/04/2019;Ginecologia;Infusão;1028;Equipamento Novo
28;102;02/11/2025;1355;Esparza LLC;08/01/2020;Urgências;Ventilação;1029;Equipamento Novo
29;105;22/09/2020;964;Beard, Walsh and Williams;22/08/2018;Cardiologia;Esterilização;1030;Manutenção efetuada
30;106;13/07/2024;771;Manning-Long;02/07/2023;Urgências;Infusão;1031;Uso Urgente
31;104;19/12/2023;1251;Rivera Inc;14/11/2022;Oncologia;Imagiologia;1032;Ala Norte
32;102;06/10/2022;2753;Stewart, Cuevas and Morales;17/02/2019;Cuidados Intensivos;Ventilação;1033;Piso 1
33;107;27/01/2022;3397;Owens-Hood;27/12/2019;Urgências;Desfibrilhação;1034;Manutenção efetuada
34;108;25/04/2023;2108;Stokes, Phillips and Jones;10/04/2016;Cuidados Intensivos;Sutura Mecânica;1035;Ala Norte
35;103;11/03/2023;2986;Ramirez-Lynch;11/03/2018;Cuidados Intensivos;Diagnóstico;1036;Sala 302
36;103;29/05/2023;4063;King-Parsons;24/03/2015;Cuidados Intensivos;Diagnóstico;1037;Software v4.2
37;102;10/12/2022;3495;Riggs LLC;03/04/2018;Urgências;Ventilação;1038;Uso Urgente
